timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
10389,0.0000,0.0012,0.9877,-0.0668,0.0223,-0.2193,idle
10440,0.0000,0.0022,0.9805,-0.1045,0.0082,-0.1969,idle
10491,0.0000,0.0010,0.9854,-0.0477,0.0381,-0.1805,idle
10542,0.0000,0.0002,0.9894,0.0131,-0.0189,-0.0666,idle
10593,0.0000,-0.0003,0.9878,-0.0162,0.0103,-0.1679,idle
10644,0.0000,-0.0010,0.9870,0.0596,-0.0870,0.0122,idle
10695,0.0000,-0.0009,0.9868,0.1080,-0.0365,0.0631,idle
10746,0.0000,0.0011,0.9842,0.0247,-0.0298,-0.0916,idle
10797,0.0000,0.0003,0.9803,0.0709,-0.0411,-0.0138,idle
10848,0.0000,-0.0004,0.9851,-0.0462,0.0917,-0.2035,idle
10899,0.0000,0.0006,0.9883,-0.0637,0.0515,-0.1674,idle
10950,0.0000,0.0003,0.9877,-0.0379,0.0666,-0.0836,idle
11001,0.0000,0.0002,0.9913,-0.0432,0.1016,-0.1616,idle
11052,0.0000,0.0015,0.9928,-0.0429,0.0609,-0.1202,idle
11103,0.0000,-0.0006,0.9938,0.0016,0.0741,-0.0550,idle
11154,0.0000,-0.0011,0.9958,0.0342,0.0099,-0.0258,idle
11205,0.0000,-0.0001,0.9894,0.0281,0.0227,-0.0436,idle
11256,0.0000,-0.0008,0.9894,0.0844,-0.0038,0.0322,idle
11307,0.0000,-0.0002,0.9895,0.0928,0.0392,0.0074,idle
11358,0.0000,-0.0004,0.9885,0.0552,-0.0043,0.0180,idle
11409,0.0000,0.0005,0.9845,0.0328,0.0617,-0.0437,idle
11460,0.0000,-0.0006,0.9902,0.0377,0.1099,-0.0762,idle
11511,0.0000,-0.0013,0.9920,0.0463,0.1087,-0.0321,idle
11562,0.0000,-0.0018,0.9847,0.0409,0.1674,-0.0624,idle
11613,0.0000,-0.0017,0.9877,0.0809,0.1227,0.0218,idle
11664,0.0000,0.0007,0.9852,0.0899,0.0793,-0.0681,idle
11715,0.0000,0.0017,0.9837,0.1033,-0.0196,-0.0286,idle
11766,0.0000,0.0019,0.9844,0.1140,0.0067,-0.0062,idle
11817,0.0000,0.0028,0.9815,0.1119,0.0323,0.0225,idle
11868,0.0000,0.0019,0.9767,0.0460,-0.0067,0.0530,idle
11919,0.0000,0.0011,0.9754,0.0132,0.0093,0.0240,idle
